"id","version","crossreferencet","definitiond","entrya","nounadjplurale","nounadjpluralsyllf","partofspeechc","sentenceenglishs","sentenceq","sentencesyllr","syllabaryb","vfirstpresg","vfirstpresh","vsecondimperm","vsecondimpersylln","vthirdinfo","vthirdinfsyllp","vthirdpasti","vthirdpastsyllj","vthirdpresk","vthirdpressylll","entrytranslit","nounadjpluraltranslit","sentencetranslit","vfirstprestranslit","vsecondimpertranslit","vthirdinftranslit","vthirdpasttranslit","vthirdprestranslit","entrytone","nounadjpluraltone","vfirstprestone","vsecondimpertone","vthirdinftone","vthirdpasttone","vthirdprestone","source","definitionlarge","etymology","category","notes","modified"
100840,1,"",It is falling (multiple falls),ganugoosga,"","",vi,"","","",ᎦᏄᎪᎣᏍᎦ,"",-,wiganugoohi,ᏫᎦᏄᎪᎣᎢ,unugohisdi,ᎤᏄᎪᎯᏍᏗ,unugoosvi,ᎤᏄᎪᎣᏒᎢ,ganugoosgoi,ᎦᏄᎪᎣᏍᎪᎢ,ganugoosga,"","","",wiganugooi,unugohisdi,unugoosvi,ganugoosgoi,gạnugoɂọsga,"","",wịgạnugoɂọɂhi,unugohịsdi,unugoɂosv²³ɂi,gạnugoɂọsgo³ɂi,rrd,"","","","","1,545,506,536,000"
100841,2,"",He is exiting.; He is going out of it,ganugoga,"","",vt,"… 'Rise, <u>go out from</u> this place, for Jehovah is destroying the city;' …",[ᎼᏏ ᎢᎬᏱᏱ 19:14],… ᏗᏣᎴᎲᎦ ᎠᎴ <u>ᎢᏥᏄᎪᎢ</u> ᎠᏂ; ᏱᎰᏩᏰᏃ ᏛᏲᏍᏔᏂ ᎯᎠ ᎦᏚᎲᎢ. …,ᎦᏄᎪᎦ,tsinugoga,ᏥᏄᎪᎦ,hinugoi,ᎯᏄᎪᎢ,unugoisdi,ᎤᏄᎪᎢᏍᏗ,unugotsvi,ᎤᏄᎪᏨᎢ,ganugogoi,ᎦᏄᎪᎪᎢ,ganugoga,"",… ditsalehvga ale <u>itsinugoi</u> ani; yihowayeno dvyostani hia gaduhvi. …,tsinugoga,hinugoi,unugoisdi,unugotsvi,ganugogoi,gạnugo³ga,"",tsịnugo³ga,hịnugo³ɂi,unugo³ɂisdi,unugo³ɂtsv²³ɂi,gạnugo³go³ɂi,rrd,"","","","","1,575,908,155,000"
100842,1,"",Plate,ganuhihldi,"","",n,"","","",ᎦᏄᎯᎵᏗ,"","","","","","","","","","",ganuhilidi,"","","","","","","",gạnụhihldi,"","","","","","",rrd,"","","","","1,545,506,536,000"
100843,1,"",Cup,ganuhuhldi,"","",n,"","","",ᎦᏄᎱᎵᏗ,"","","","","","","","","","",ganuhulidi,"","","","","","","",ganụhuhldi,"","","","","","",rrd,"","","","","1,545,506,536,000"
100844,1,"",He is covered with dirt,ganulahsaa,"","",vi,"","","",ᎦᏄᎳᏌᎠ,tsinulasaa,ᏥᏄᎳᏌᎠ,hinulahsahvga,ᎯᏄᎳᏌᎲᎦ,unulahsvhdi,ᎤᏄᎳᏒᏗ,unulahsvhnvi,ᎤᏄᎳᏒᏅᎢ,ganulahsaoi,ᎦᏄᎳᏌᎣᎢ,ganulasaa,"","",tsinulasaa,hinulasahvga,unulasvdi,unulasvnvi,ganulasaoi,gạnulah³sạɂa,"",tsịnulạɂsạɂa,hịnulah³sahvga,unulah³svhdi,unulah³svhnv²³ɂi,gạnulah³sạɂo³ɂi,rrd,"","","","","1,545,506,536,000"
100845,1,"",He is covering it with dirt.; He is burying it,ganulahsvvsga,"","",vt,"","","",ᎦᏄᎳᏒᎥᏍᎦ,tsinulasvvsga,ᏥᏄᎳᏒᎥᏍᎦ,hinulahsvvga,ᎯᏄᎳᏒᎥᎦ,unulahsvyi,ᎤᏄᎳᏒᏱ,unulahsvhnivi,ᎤᏄᎳᏒᏂᎥᎢ,ganulahsvvsgoi,ᎦᏄᎳᏒᎥᏍᎪᎢ,ganulasvvsga,"","",tsinulasvvsga,hinulasvvga,unulasvyi,unulasvnivi,ganulasvvsgoi,gạnulah³sṿɂvsga,"",tsịnulạɂsṿɂvsga,hịnulah³sṿɂvga,unulah³sṿɂyi,unulah³sṿɂhniv²³ɂi,gạnulah³sṿɂvsgo³ɂi,rrd,"","","","","1,545,506,536,000"
100846,2,"",Grass.; Weeds,ganulvhi,"","",n,"And God saith, 'Lo, I have given to you every <u>herb</u> sowing seed, which [is] upon the face of all the earth, …",[ᎼᏏ ᎢᎬᏱᏱ 1:29],"ᎤᏁᎳᏅᎯᏃ ᎯᎠ ᏄᏪᏎᎢ; ᎬᏂᏳᏉ ᏂᎦᎥ <u>ᎦᏄᎸᎯ</u> ᎠᎦᏔᏛᏍᎩ ᎾᏍᎩ ᏂᎬᎾᏛ ᎦᏙᎯ ᏣᏛᏍᎦ, …",ᎦᏄᎸᎯ,"","","","","","","","","","",ganulvhi,"","unelanvhino hia nuwesei; gvniyuquo nigav <u>ganulvhi</u> agatadvsgi nasgi nigvnadv gadohi tsadvsga, …","","","","","",gạnulṿhi,"","","","","","",rrd,"","","","","1,575,908,155,000"
100847,1,"",He is twisting it,ganuteyoha,"","",vt,"","","",ᎦᏄᏖᏲᎭ,tsinudeyoha,ᏥᏄᏕᏲᎭ,hinuteyka,ᎯᏄᏖᏲᎧ,unuteyosdi,ᎤᏄᏖᏲᏍᏗ,unuteyohlvi,ᎤᏄᏖᏲᎸᎢ,ganuteyosgoi,ᎦᏄᏖᏲᏍᎪᎢ,ganuteyoha,"","",tsinudeyoha,hinuteyoka,unuteyosdi,unuteyolvi,ganuteyosgoi,gạnutẹɂyoha,"",tsịnudɂẹɂyoha,hịnutẹɂyka,unutẹɂyosdi,unutẹɂyohlv²³ɂi,gạnutẹɂyosgo³ɂi,rrd,"","","","","1,545,506,536,000"
100848,2,"",He is placing it (something flexible) on the ground.; He is placing it (something alive) on the ground,ganvvsga,"","",vt,"… he is not here; lo, the place where <u>they laid him</u>!",[ᎹᎦ 15:47],… ᎥᏝ ᎠᏂ ᏱᎦᏅ; ᏗᏣᎧᏅᎦ Ꭰ <u>ᎤᏂᏅᏅᎢ</u>.,ᎦᏅᎥᏍᎦ,tsinvvsga,ᏥᏅᎥᏍᎦ,hinvvga,ᎯᏅᎥᎦ,unvdi,ᎤᏅᏗ,unvnvi,ᎤᏅᏅᎢ,ganvvsgoi,ᎦᏅᎥᏍᎪᎢ,ganvvsga,"",… vtla ani yiganv; ditsakanvga a <u>uninvnvi</u>.,tsinvvsga,hinvvga,unvdi,unvnvi,ganvvsgoi,gạnv³ɂvsga,"",tsịnv³ɂṿɂsga,hịnv³ɂvga,unv³ɂdi,unv³ɂnv²³ɂi,gạnv³ɂvsgo³ɂi,rrd,"","","","","1,575,908,155,000"
100849,2,"",He is in the process of lying down,gahnvga,"","",vi,"Issacher [is] a strong ass, <u>Crouching</u> between the two folds;",[ᎼᏏ ᎢᎬᏱᏱ 49:14],"ᎢᏏᎦ ᏗᎦᎵᎠᏅᎯᏛ ᎤᎵᏂᎩᏛ, ᏗᏴᏙᏗᏱ ᎠᏰᎵ <u>ᎦᏅᎦ</u>.",ᎦᏅᎦ,tsinvga,ᏥᏅᎦ,"",-,"",-,"",-,gahnvgoi,ᎦᏅᎪᎢ,ganvga,"","isiga digalianvhidv ulinigidv, diyvdodiyi ayeli <u>ganvga</u>.",tsinvga,"","","",ganvgoi,gạhnṿ³ga,"",tsịɂnṿ³ga,"","","",gạhnṿ³go³ɂi,rrd,"","","","","1,575,908,155,000"
100850,2,"",He is falling to the ground,ganvga,"","",vi,… and one of them shall not <u>fall on the ground</u> without your Father;,[ᎹᏚ 10:29],… ᎠᏎᏃ ᎥᏝ ᏌᏉ ᎡᎳᏗ <u>ᎤᏅᎢᏍᏗ</u> ᏱᎩ ᎢᏥᏙᏓ ᎤᏓᏅᏖᎸᎯ ᏂᎨᏒᎾ.,ᎦᏅᎦ,tsinvga,ᏥᏅᎦ,hinvgi,ᎯᏅᎩ,unvisdi,ᎤᏅᎢᏍᏗ,unvtsvi,ᎤᏅᏨᎢ,ganvgoi,ᎦᏅᎪᎢ,ganvga,"",… aseno vtla saquo eladi <u>unvisdi</u> yigi itsidoda udanvtelvhi nigesvna.,tsinvga,hinvgi,unvisdi,unvtsvi,ganvgoi,gạnv³ga,"",tsịnv³ga,hịnv³ɂgi,unv³ɂisdi,unv³ɂtsv²³ɂi,gạnv³go³ɂi,rrd,"","","","","1,575,908,155,000"
100851,1,"",He is cleaning (1),ganvgalia,"","",vt,"","","",ᎦᏅᎦᎵᎠ,tsinvgalia,ᏥᏅᎦᎵᎠ,hinvgala,ᎯᏅᎦᎳ,unvgahldi,ᎤᏅᎦᎵᏗ,unvgalvvi,ᎤᏅᎦᎸᎥᎢ,ganvgalisgoi,ᎦᏅᎦᎵᏍᎪᎢ,ganvgalia,"","",tsinvgalia,hinvgala,unvgalidi,unvgalvvi,ganvgalisgoi,gạnvgạ³lịɂa,"",tsịnvgạ³lịɂa,hịnvgạ³la,unvgạ³hldi,unvgạ³lṿɂv²³ɂi,gạnvgạ³lisgo³ɂi,rrd,"","","","","1,545,506,537,000"
100852,1,"",He is cleaning (2),ganvgaliha,"","",vt,"","","",ᎦᏅᎦᎵᎭ,tsinvgalia,ᏥᏅᎦᎵᎠ,hinvgala,ᎯᏅᎦᎳ,unvgahldi,ᎤᏅᎦᎵᏗ,unvgalvhvi,ᎤᏅᎦᎸᎲᎢ,ganvgalisgoi,ᎦᏅᎦᎵᏍᎪᎢ,ganvgaliha,"","",tsinvgalia,hinvgala,unvgalidi,unvgalvhvi,ganvgalisgoi,gạnvgạ³liha,"",tsịnvgạ³lịɂa,hịnvgạ³la,unvgạ³hldi,unvgạ³lvhv²³ɂi,gạnvgạ³lisgo³ɂi,rrd,"","","","","1,545,506,537,000"
100853,1,"",Blackburnian warbler.; biol. <em>Setophaga fusca.</em>,ganvgi,"","",n,"","","",ᎦᏅᎩ,"","","","","","","","","","",ganvgi,"","","","","","","",gạnvgi,"","","","","","",rrd,"","","","","1,545,506,537,000"
100854,1,"",Long,ganvhida,"","",adj,"","","",ᎦᏅᎯᏓ,"","","","","","","","","","",ganvhida,"","","","","","","",gạnṿhida,"","","","","","",rrd,"","","","","1,545,506,537,000"
